test_folder,precision,recall,f1_score,accuracy,specificity,true_negatives,false_positives,false_negatives,true_positives,TH
test_plc_226_snd_t1_EFD_4_20260115_162418,0.071428571,0.149425287,0.096654275,0.834468665,0.877624909,1212,169,74,13,11.6226886
test_plc_226_snd_t1_EFD_5_20260115_164614,0.099585062,0.275862069,0.146341463,0.809264305,0.842867487,1164,217,63,24,7.938596065
test_plc_226_snd_t1_EFD_6_20260115_170831,0.093922652,0.390804598,0.151447661,0.740463215,0.762490949,1053,328,53,34,3.116479266
test_plc_226_snd_t1_EFD_7_20260115_173054,0.111721612,0.701149425,0.192733017,0.651907357,0.648805214,896,485,26,61,1.932485704
test_plc_226_snd_t1_EWD_4_20260115_175256,0.12359550561783865,0.12643678160905006,0.1249999999498644,0.8950953678474114,0.9435191889934146,1303,78,76,11,11.34999467
test_plc_226_snd_t1_EWD_5_20260115_181720,0.1647058823527474,0.1609195402297001,0.16279069762423606,0.9019073569482289,0.9485879797247684,1310,71,73,14,3.010982844
test_plc_226_snd_t1_EWD_6_20260115_184114,0.1818181818179752,0.1839080459768001,0.18285714280693552,0.9025885558583107,0.9478638667631464,1309,72,71,16,6.093643272
test_plc_226_snd_t1_EWD_7_20260115_190500,0.20224719101100871,0.20689655172390012,0.20454545449522854,0.9046321525885559,0.9485879797247684,1310,71,69,18,14.41583704
test_plc_226_snd_t1_KMeans_4_20260115_192850,0.071186441,0.482758621,0.124076809,0.596049046,0.603186097,833,548,45,42,2.179507368
test_plc_226_snd_t1_KMeans_5_20260115_195209,0.073068894,0.402298851,0.123674912,0.662125341,0.678493845,937,444,52,35,2.403604997
test_plc_226_snd_t1_KMeans_6_20260115_201559,0.080267559,0.275862069,0.124352332,0.769754768,0.800868936,1106,275,63,24,7.055240942
test_plc_226_snd_t1_KMeans_7_20260115_204033,0.081669691,0.517241379,0.141065831,0.626702997,0.633598841,875,506,42,45,2.356635277
test_plc_226_snd_t2_EFD_4_20260115_210613,0.05988024,0.229885057,0.095011876,0.740463215,0.77262853,1067,314,67,20,6.054557795
test_plc_226_snd_t2_EFD_5_20260115_213211,0.098360656,0.275862069,0.145015106,0.807220708,0.840695148,1161,220,63,24,7.40005676
test_plc_226_snd_t2_EFD_6_20260115_215625,0.059431525,0.264367816,0.097046414,0.708446866,0.736422882,1017,364,64,23,6.019871736
test_plc_226_snd_t2_EFD_7_20260115_221948,0.092436975,0.252873563,0.135384615,0.808583106,0.8435916,1165,216,65,22,7.934941272
test_plc_226_snd_t2_EWD_4_20260115_224251,0.19999999999977777,0.20689655172390012,0.2033898304582591,0.9039509536784741,0.9478638667631464,1309,72,69,18,11.38256751
test_plc_226_snd_t2_EWD_5_20260115_230821,0.12643678160905006,0.12643678160905006,0.12643678155905005,0.896457765667575,0.9449674149166586,1305,76,76,11,7.527110481
test_plc_226_snd_t2_EWD_6_20260115_233139,0.188888888888679,0.1954022988503501,0.19209039543002326,0.9025885558583107,0.9471397538015245,1308,73,70,17,7.001326675
test_plc_226_snd_t2_EWD_7_20260115_235512,0.2471910112356773,0.2528735632181001,0.24999999994972233,0.9100817438692098,0.9514844315712562,1314,67,65,22,4.40810764
test_plc_226_snd_t2_KMeans_4_20260116_001859,0.073649755,0.517241379,0.128939828,0.585831063,0.590152064,815,566,42,45,1.051846459
test_plc_226_snd_t2_KMeans_5_20260116_004251,0.080912863,0.448275862,0.137082601,0.665531335,0.679217958,938,443,48,39,2.498377222
test_plc_226_snd_t2_KMeans_6_20260116_010704,0.07826087,0.206896552,0.113564669,0.808583106,0.846488052,1169,212,69,18,9.042453455
test_plc_226_snd_t2_KMeans_7_20260116_013018,0.112540193,0.402298851,0.175879397,0.776566757,0.800144823,1105,276,52,35,6.143720846
test_plc_226_snd_t3_EFD_4_20260116_015538,0.057692308,0.206896552,0.090225564,0.752724796,0.787110789,1087,294,69,18,7.408308419
test_plc_226_snd_t3_EFD_5_20260116_022109,0.116161616,0.264367816,0.161403509,0.83719346,0.873280232,1206,175,64,23,11.96037242
test_plc_226_snd_t3_EFD_6_20260116_113901,0.100436681,0.264367816,0.14556962,0.816076294,0.85083273,1175,206,64,23,8.089573401
test_plc_226_snd_t3_EFD_7_20260116_115504,0.108695652,0.517241379,0.179640719,0.720027248,0.732802317,1012,369,42,45,2.132746277
test_plc_226_snd_t3_EWD_4_20260116_121111,0.1428571428569728,0.13793103448260008,0.1403508771428337,0.8998637602179836,0.9478638667631464,1309,72,75,12,5.764755015
test_plc_226_snd_t3_EWD_5_20260116_122704,0.15909090909072832,0.1609195402297001,0.15999999994981878,0.8998637602179836,0.9464156408399025,1307,74,73,14,3.569465707
test_plc_226_snd_t3_EWD_6_20260116_124303,0.20224719101100871,0.20689655172390012,0.20454545449522854,0.9046321525885559,0.9485879797247684,1310,71,69,18,7.623997304
test_plc_226_snd_t3_EWD_7_20260116_125903,0.2584269662918445,0.26436781609165017,0.2613636363133458,0.9114441416893733,0.9522085445328782,1315,66,64,23,7.802809073
test_plc_226_snd_t3_KMeans_4_20260116_131512,0.132104455,0.988505747,0.233062331,0.614441417,0.590876177,816,565,1,86,1.419537976
test_plc_226_snd_t3_KMeans_5_20260116_133134,0.085995086,0.402298851,0.141700405,0.711171662,0.730629978,1009,372,52,35,2.228515643
test_plc_226_snd_t3_KMeans_6_20260116_134741,0.090163934,0.252873563,0.132930514,0.804495913,0.839246923,1159,222,65,22,6.968224316
test_plc_226_snd_t3_KMeans_7_20260116_140353,0.114018692,0.701149425,0.196141479,0.659400545,0.656770456,907,474,26,61,2.702146221
